volume,letter_number,direction,correspondent,date,year
1,1,to,Rich. Shackleton,Jan 9 1744,1744
1,2,to,Rich. Shackleton,Nov 1 1744,1744
1,3,to,Rich. Shackleton,Jan 25 1745,1745
1,4,to,Rich. Shackleton,Feb 3 1746,1746
1,5,to,Rich. Shackleton,April 26 1746,1746
1,6,to,Rich. Shackleton,July 12 1746,1746
1,7,to,Rich. Shackleton,Mar 1746,1746
1,8,to,Rich. Shackleton,Aug 31 1751,1751
1,9,to,Rich. Shackleton,Sept 28 1752,1752
1,10,to,Rich. Shackleton,Aug 10 1757,1757
1,11,to,Rich. Shackleton,Aug 25 1761,1761
1,12,from,Chief Justice Aston -> Mr. Secretary Hamilton,June 24 1762,1762
1,13,to,Rt. Hon. Wm. G. Hamilton,Mar 1763,1763
1,14,to,Rich. Shackleton,April 1763,1763
1,15,to,Rich. Shackleton,July 17 1764,1764
1,16,from,Rt. Hon. Wm. G. Hamilton,Feb 1765,1765
1,17,to,Rt. Hon. Wm. G. Hamilton,Feb 1765,1765
1,18,from,Rt. Hon. Wm. G. Hamilton,Feb 1765,1765
1,19,to,"Robert Jephson, Esq",Feb 26 1765,1765
1,20,from,Rt. Hon. Wm. G. Hamilton,April 8 1765,1765
1,21,to,Rt. Hon. Wm. G. Hamilton,April 10 1765,1765
1,22,to,"John Hely Hutchinson, Esq",May 1765,1765
1,23,to,"J. Monck Mason, Esq",May 1765,1765
1,24,to,"Henry Flood, Esq",May 18 1765,1765
1,25,from,Rev. Dr. Leland,July 27 1765,1765
1,26,from,Mr. James Barry -> Messrs. Edm. and Wm. Burke,Dec 5 1765,1765
1,27,from,"Rev. Dr. Markham -> Wm. Burke, Esq",Dec 29 1765,1765
1,28,from,Rev. Dr. Leland,Jan 9 1766,1766
1,29,from,Dr. Marriott,Oct 25 1766,1766
1,30,from,Mr. Archibald Henderson,1766,1766
1,31,from,"Sir George Macartney -> Wm. Burke, Esq",1766,1766
1,32,from,Dr. Marriott,1766,1766
1,33,to,Marquis of Rockingham,1766,1766
1,34,to,Rich. Shackleton,1766,1766
1,35,to,the Lord Mayor of Dublin (Rt. Hon. Francis Featherstone),Feb 25 1767,1767
1,36,from,Mr. James Barry -> Messrs. Burke,May 23 1767,1767
1,37,from,Sir Wm. Meredith,June 26 1767,1767
1,38,from,s. Duke of Richmond,July 1767,1767
1,39,to,Marquis of Rockingham,Aug 1 1767,1767
1,40,to,Marquis of Rockingham,Aug 18 1767,1767
